driveID,date,time,HR
driver1,2017/1/23,11:09:35,99.9
driver1,2017/1/23,11:09:36,89.9
driver1,2017/1/23,11:09:36,76.1
driver1,2017/1/23,11:09:36,84.5
driver1,2017/1/23,11:09:37,93.8
driver1,2017/1/23,11:09:37,88.9
driver1,2017/1/23,11:09:38,94.9
driver1,2017/1/23,11:09:38,106.1
driver1,2017/1/23,11:09:38,76.5
driver1,2017/1/23,11:09:45,80.5
driver1,2017/1/23,11:09:58,86.9
driver1,2017/1/23,11:10:06,78.4
driver1,2017/1/23,11:10:18,79.7
driver1,2017/1/23,11:10:26,73.6
driver1,2017/1/23,11:10:38,78.4
driver1,2017/1/23,11:10:46,72.9
driver1,2017/1/23,11:10:59,81.8
driver1,2017/1/23,11:11:07,78.8
driver1,2017/1/23,11:11:15,81.4
driver1,2017/1/23,11:11:27,73.9
driver1,2017/1/23,11:11:35,71.8
driver1,2017/1/23,11:11:47,78
driver1,2017/1/23,11:11:56,93.2
driver1,2017/1/23,11:12:08,90.4
driver1,2017/1/23,11:12:16,78.8
driver1,2017/1/23,11:12:28,80.9
driver1,2017/1/23,11:12:36,82.2
driver1,2017/1/23,11:12:48,79.7
driver1,2017/1/23,11:13:00,84.5
driver1,2017/1/23,11:13:08,83.1
driver1,2017/1/23,11:13:20,89.4
driver1,2017/1/23,11:13:28,99.2
driver1,2017/1/23,11:13:40,92.1
driver1,2017/1/23,11:13:49,102.5
driver1,2017/1/23,11:13:57,92.1
driver1,2017/1/23,11:14:09,91.5
driver1,2017/1/23,11:14:18,89.4
driver1,2017/1/23,11:14:30,90.4
driver1,2017/1/23,11:14:38,86.4
driver1,2017/1/23,11:14:50,109.1
driver1,2017/1/23,11:14:58,93.8
driver1,2017/1/23,11:15:09,69.3
driver1,2017/1/23,11:15:17,91
driver1,2017/1/23,11:15:29,99.9
driver1,2017/1/23,11:15:37,103.9
driver1,2017/1/23,11:15:51,104.6
driver1,2017/1/23,11:15:59,103.2
driver1,2017/1/23,11:16:07,101.2
driver1,2017/1/23,11:16:18,93.2
driver1,2017/1/23,11:16:26,91
driver1,2017/1/23,11:16:38,84.9
driver1,2017/1/23,11:16:46,88.9
driver1,2017/1/23,11:16:58,87.9
driver1,2017/1/23,11:17:06,90.4
driver1,2017/1/23,11:17:18,93.2
driver1,2017/1/23,11:17:26,88.4
driver1,2017/1/23,11:17:38,88.9
driver1,2017/1/23,11:17:50,85.9
driver1,2017/1/23,11:17:58,88.4
driver1,2017/1/23,11:18:06,90.4
driver1,2017/1/23,11:18:18,88.9
driver1,2017/1/23,11:18:26,94.3
driver1,2017/1/23,11:18:38,94.3
driver1,2017/1/23,11:18:50,88.9
driver1,2017/1/23,11:18:58,92.6
driver1,2017/1/23,11:19:10,84.9
driver1,2017/1/23,11:19:19,82.7
driver1,2017/1/23,11:19:31,79.3
driver1,2017/1/23,11:19:39,82.2
driver1,2017/1/23,11:19:50,86.9
driver1,2017/1/23,11:19:58,89.4
driver1,2017/1/23,11:20:09,75.4
driver1,2017/1/23,11:20:21,84.5
driver1,2017/1/23,11:20:30,81.8
driver1,2017/1/23,11:20:38,78
driver1,2017/1/23,11:20:50,79.3
driver1,2017/1/23,11:20:58,75
driver1,2017/1/23,11:21:10,78.4
driver1,2017/1/23,11:21:19,80.1
driver1,2017/1/23,11:21:28,82.2
driver1,2017/1/23,11:21:40,78.8
driver1,2017/1/23,11:21:48,82.2
driver1,2017/1/23,11:22:00,93.2
driver1,2017/1/23,11:22:09,89.9
driver1,2017/1/23,11:22:20,78.4
driver1,2017/1/23,11:22:29,82.2
driver1,2017/1/23,11:22:37,89.9
driver1,2017/1/23,11:22:49,98.6
driver1,2017/1/23,11:22:57,92.1
